2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Wellesley - Schofield,03170045,      25.0, 100.0,  15.1 to 1,  96.0,  96.0
Wellesley - Sprague Elementary School,03170048,      28.3, 100.0,  13.5 to 1,  92.0,  99.0
Wellesley - Wellesley Middle,03170305,     104.6, 100.0,  10.8 to 1,  89.9,  95.3
Wellesley - Wellesley Sr High,03170505,     119.7,  99.6,  13.1 to 1,  90.5,  92.9
Wellfleet - Wellfleet Elementary,03180005,      14.8, 100.0,   7.6 to 1,  91.9,  93.2
West Boylston - Major Edwards Elementary,03220005,      35.3, 100.0,  11.9 to 1,  85.8, 100.0
West Boylston - West Boylston Junior/Senior High,03220505,      48.0, 100.0,  10.1 to 1,  86.5,  94.1
West Bridgewater - Howard School,03230305,      18.5, 100.0,  15.6 to 1,  96.2,  97.3
West Bridgewater - Rose L Macdonald,03230003,      15.2, 100.0,  16.3 to 1,  80.2, 100.0
West Bridgewater - Spring Street School,03230005,       8.9, 100.0,  15.9 to 1,  88.8, 100.0
West Bridgewater - West Bridgewater Junior/Senior,03230505,      51.5, 100.0,  12.2 to 1,  87.8,  94.2
West Springfield - 21st Century Skills Academy,03320515,       6.2,  97.2,   1.3 to 1,  97.2, 100.0
West Springfield - Cowing Early Childhood,03320001,       6.0, 100.0,  20.3 to 1,  83.3, 100.0
West Springfield - John Ashley,03320005,      17.5, 100.0,  13.4 to 1,  98.1, 100.0
West Springfield - John R Fausey,03320010,      34.7, 100.0,  13.3 to 1,  85.6,  97.1
West Springfield - Memorial,03320025,      19.0, 100.0,  12.6 to 1,  80.4, 100.0
West Springfield - Mittineague,03320030,      14.7, 100.0,  11.0 to 1,  88.9,  95.7
West Springfield - Philip G Coburn,03320007,      45.2, 100.0,  11.5 to 1,  94.1,  96.9
West Springfield - Tatham,03320040,      19.0, 100.0,  12.6 to 1,  81.2,  94.7
West Springfield - West Springfield High,03320505,      94.2, 100.0,  13.1 to 1,  96.8,  94.7
West Springfield - West Springfield Middle,03320305,      72.5,  98.6,  12.4 to 1,  94.9, 100.0
Westborough - Annie E Fales,03210010,      28.9, 100.0,  11.7 to 1,  82.7,  89.6
Westborough - Elsie A Hastings Elementary,03210025,      43.1, 100.0,  11.6 to 1,  73.7,  95.4
Westborough - J Harding Armstrong,03210005,      34.6, 100.0,  12.2 to 1,  79.8,  97.1
Westborough - Mill Pond School,03210045,      70.3, 100.0,  13.3 to 1,  87.1,  96.0
Westborough - Sarah W Gibbons Middle,03210305,      54.9, 100.0,  10.9 to 1,  83.6,  90.9
Westborough - Westborough High,03210505,      89.5,  99.0,  12.6 to 1,  82.7,  93.3
Westfield - Abner Gibbs,03250020,      15.4, 100.0,  14.5 to 1,  95.6,  98.1
Westfield - Fort Meadow Early Childhood Center,03250003,       8.1, 100.0,  24.3 to 1, 100.0, 100.0
Westfield - Franklin Ave,03250015,      16.8, 100.0,  14.7 to 1,  83.8,  95.8
Westfield - Highland,03250025,      33.1, 100.0,  11.3 to 1,  93.9,  94.9
Westfield - Munger Hill,03250033,      27.9, 100.0,  13.6 to 1,  94.1,  95.2
Westfield - North Middle School,03250305,      51.4, 100.0,  13.1 to 1,  86.3,  92.1
Westfield - Paper Mill,03250036,      30.8, 100.0,  13.4 to 1,  79.7, 100.0
Westfield - Russell Elementary School,03250055,      12.2, 100.0,  13.2 to 1,  91.7, 100.0
Westfield - South Middle School,03250310,      50.3, 100.0,  11.7 to 1,  92.0,  94.0
Westfield - Southampton Road,03250040,      30.5, 100.0,  13.9 to 1,  90.7,  96.7
Westfield - Westfield High,03250505,      91.7,  98.9,  13.7 to 1,  86.0,  93.8
Westfield - Westfield Technical Academy,03250605,      55.0,  89.9,   9.8 to 1,  87.7,  84.6
Westford - Abbot Elementary,03260004,      21.8, 100.0,  16.8 to 1,  82.6, 100.0
Westford - Blanchard Middle,03260310,      46.7, 100.0,  12.6 to 1,  89.3,  93.6
Westford - Col John Robinson,03260025,      16.3, 100.0,  17.9 to 1,  90.8,  93.9
Westford - Day Elementary,03260007,      22.0, 100.0,  16.2 to 1,  97.7, 100.0
Westford - John A. Crisafulli Elementary School,03260045,      20.6, 100.0,  16.7 to 1,  94.2, 100.0
Westford - Millennium Elementary,03260013,       7.8, 100.0,  14.1 to 1,  98.7, 100.0
Westford - Nabnasset,03260015,      18.8, 100.0,  17.5 to 1,  91.5, 100.0
Westford - Rita E. Miller Elementary School,03260055,      18.8, 100.0,  17.3 to 1,  92.0,  92.0
Westford - Stony Brook School,03260330,      51.0, 100.0,  12.7 to 1,  92.2,  96.1
Westford - Westford Academy,03260505,     119.1,  99.7,  14.4 to 1,  89.0,  95.8
Westhampton - Westhampton Elementary School,03270005,      14.4, 100.0,   8.5 to 1,  93.1, 100.0
Weston - Country,03300010,      21.2,  98.6,  14.3 to 1,  84.4,  95.3
Weston - Field Elementary School,03300012,      24.4, 100.0,  13.3 to 1,  80.9,  92.8
Weston - Weston High,03300505,      63.8,  99.7,  10.9 to 1,  85.4,  98.4
Weston - Weston Middle,03300305,      39.9,  99.5,  12.1 to 1,  89.0,  90.5
Weston - Woodland,03300015,      18.1, 100.0,  16.5 to 1,  84.9,  94.5
Westport - Alice A Macomber,03310015,      25.0, 100.0,  14.9 to 1,  88.0, 100.0
Westport - Westport Elementary,03310030,      38.5, 100.0,  13.2 to 1,  87.0,  89.6
Westport - Westport Junior/Senior High School,03310515,      54.2, 100.0,  10.1 to 1,  83.9,  93.5
Westwood - Deerfield School,03350010,      17.2, 100.0,  11.7 to 1,  92.0, 100.0
Westwood - Downey,03350012,      18.6, 100.0,  13.5 to 1,  91.4,  86.0
Westwood - E W Thurston Middle,03350305,      59.7, 100.0,  13.3 to 1,  87.6,  96.7
Westwood - Martha Jones,03350017,      19.5, 100.0,  15.1 to 1,  88.2,  94.9
Westwood - Paul Hanlon,03350015,      15.9, 100.0,  13.8 to 1,  84.7,  95.0
Westwood - Westwood High,03350505,      78.6, 100.0,  12.7 to 1,  73.2,  93.6
Westwood - Westwood Integrated Preschool,03350050,       3.0, 100.0,  15.3 to 1,  66.7, 100.0
Westwood - William E Sheehan,03350025,      22.1, 100.0,  14.4 to 1,  95.5, 100.0
Weymouth - Abigail Adams Middle School,03360310,      71.4,  98.0,  12.7 to 1,  86.4,  91.2
Weymouth - Academy Avenue,03360005,      19.7, 100.0,  15.6 to 1,  82.8, 100.0
Weymouth - Frederick C Murphy,03360050,      16.3, 100.0,  15.1 to 1,  79.9, 100.0
Weymouth - Johnson Early Childhood Center,03360003,      12.4, 100.0,  15.6 to 1,  72.6, 100.0
Weymouth - Lawrence W Pingree,03360065,      13.2, 100.0,  14.6 to 1,  84.9, 100.0
Weymouth - Maria Weston Chapman Middle School,03360020,      74.0, 100.0,  11.9 to 1,  79.8,  85.1
Weymouth - Ralph Talbot,03360085,      18.0, 100.0,  13.8 to 1,  87.0, 100.0
Weymouth - Thomas V Nash,03360060,      13.6, 100.0,  14.9 to 1,  85.3, 100.0
Weymouth - Thomas W. Hamilton Primary School,03360105,      20.8, 100.0,  16.9 to 1,  92.8, 100.0
Weymouth - Wessagusset,03360110,      18.7, 100.0,  14.9 to 1,  83.2,  96.9
Weymouth - Weymouth High School,03360505,     136.7,  99.3,  13.9 to 1,  83.3,  88.9
Weymouth - William Seach,03360080,      16.8, 100.0,  18.9 to 1,  83.0,  91.5
Whately - Whately Elementary,03370005,      12.7, 100.0,  11.1 to 1,  72.4, 100.0
Whitman-Hanson - Hanson Middle School,07800315,      28.2, 100.0,  13.9 to 1,  85.8,  92.9
Whitman-Hanson - Indian Head,07800035,      22.0, 100.0,  14.7 to 1,  86.4, 100.0
Whitman-Hanson - John H Duval,07800030,      27.1, 100.0,  16.4 to 1, 100.0, 100.0
Whitman-Hanson - Louise A Conley,07800010,      34.3, 100.0,  16.4 to 1,  79.6,  94.2
Whitman-Hanson - Maquan Elementary,07800025,      24.2, 100.0,  18.0 to 1,  91.7,  95.9
Whitman-Hanson - Whitman Hanson Regional,07800505,      72.6, 100.0,  16.1 to 1,  80.7,  84.5
Whitman-Hanson - Whitman Middle,07800310,      36.2, 100.0,  15.9 to 1,  94.8,  89.3
Whittier Regional Vocational Technical - Whittier Regional Vocational,08850605,     113.9,  97.4,  11.0 to 1,  88.1,  82.4
Williamsburg - Anne T. Dunphy School,03400020,      17.2, 100.0,   9.5 to 1,  94.2, 100.0
Williamstown - Williamstown Elementary,03410010,      38.8, 100.0,  11.8 to 1,  82.5, 100.0
Wilmington - Boutwell,03420005,      12.5, 100.0,  12.9 to 1,  67.9, 100.0
Wilmington - North Intermediate,03420060,      21.5, 100.0,  14.1 to 1,  95.4, 100.0
Wilmington - Shawsheen Elementary,03420025,      30.0, 100.0,  11.5 to 1,  88.4,  96.7
Wilmington - West Intermediate,03420080,      22.0, 100.0,  11.2 to 1,  84.1,  95.4
Wilmington - Wildwood,03420015,      12.4, 100.0,  15.7 to 1,  91.9, 100.0
Wilmington - Wilmington High,03420505,      71.8, 100.0,  12.0 to 1,  92.2,  95.0
Wilmington - Wilmington Middle School,03420330,      74.2, 100.0,  11.3 to 1,  85.0,  93.6
Wilmington - Woburn Street,03420020,      31.0, 100.0,  12.4 to 1,  96.8, 100.0
Winchendon - Memorial,03430040,      16.5, 100.0,  18.6 to 1,  93.9,  93.9
Winchendon - Murdock Academy for Success,03430405,       1.5, 100.0,  19.5 to 1,  77.9, 100.0
Winchendon - Murdock High School,03430515,      25.4, 100.0,  12.0 to 1,  68.8,  90.6
Winchendon - Murdock Middle School,03430315,      20.3, 100.0,  13.5 to 1,  88.9,  88.9
Winchendon - Toy Town Elementary,03430050,      20.5, 100.0,  14.3 to 1, 100.0, 100.0
Winchendon - Winchendon PreSchool Program,03430010,       3.0, 100.0,  26.3 to 1, 100.0, 100.0
Winchester - Ambrose Elementary,03440045,      36.6, 100.0,  11.5 to 1,  82.4,  97.3
Winchester - Lincoln Elementary,03440005,      32.5, 100.0,  12.4 to 1,  72.3, 100.0
Winchester - Lynch Elementary,03440020,      47.6, 100.0,  11.3 to 1,  83.4,  97.9
Winchester - McCall Middle,03440305,      83.5, 100.0,  13.3 to 1,  78.7,  90.7
Winchester - Muraco Elementary,03440040,      34.4, 100.0,  11.1 to 1,  85.5, 100.0
Winchester - Vinson-Owen Elementary,03440025,      35.1, 100.0,  13.0 to 1,  83.6,  94.3
Winchester - Winchester High School,03440505,      90.6, 100.0,  14.9 to 1,  90.3,  95.2
Winthrop - Arthur T. Cummings Elementary School,03460020,      23.5, 100.0,  19.4 to 1,  74.4,  95.7
Winthrop - William P. Gorman/Fort Banks Elementary,03460015,      29.5, 100.0,  16.0 to 1,  64.4,  93.2
Winthrop - Winthrop High School,03460505,      44.2,  97.7,  13.9 to 1,  77.4,  61.5
Winthrop - Winthrop Middle School,03460305,      34.5, 100.0,  14.0 to 1,  74.7,  76.8
Woburn - Clyde Reeves,03470040,      29.0, 100.0,  14.8 to 1, 100.0, 100.0
Woburn - Daniel L Joyce Middle School,03470410,      53.5, 100.0,   9.8 to 1,  92.5,  94.4
Woburn - Daniel P Hurld,03470020,      14.2, 100.0,  15.2 to 1,  84.5, 100.0
Woburn - Goodyear Elementary School,03470005,      24.8,  96.0,  12.4 to 1,  83.8, 100.0
Woburn - John F Kennedy Middle School,03470405,      48.5, 100.0,  10.0 to 1,  85.6,  85.6
Woburn - Linscott-Rumford,03470025,      16.2, 100.0,  12.8 to 1,  98.7, 100.0
Woburn - Malcolm White,03470055,      23.0, 100.0,  14.1 to 1,  90.4, 100.0
Woburn - Mary D Altavesta,03470065,      17.1, 100.0,  14.5 to 1,  87.1, 100.0
Woburn - Shamrock,03470043,      30.5, 100.0,  11.9 to 1,  83.6,  96.7
Woburn - Woburn High,03470505,     104.6, 100.0,  12.6 to 1,  92.8,  94.3
Woburn - Wyman,03470060,      13.3, 100.0,  13.7 to 1,  98.5, 100.0
Worcester - Belmont Street Community,03480020,      31.5, 100.0,  18.4 to 1,  73.6, 100.0
Worcester - Burncoat Middle School,03480405,      50.4,  98.0,  12.4 to 1,  80.9,  84.6
Worcester - Burncoat Senior High,03480503,      79.6,  97.5,  13.0 to 1,  89.4,  92.2
Worcester - Burncoat Street,03480035,      18.9, 100.0,  15.5 to 1,  76.0,  94.2
Worcester - Canterbury,03480045,      25.2, 100.0,  14.9 to 1,  69.6,  91.0
Worcester - Chandler Elementary Community,03480050,      26.6,  92.5,  18.8 to 1,  84.7,  96.2
Worcester - Chandler Magnet,03480052,      38.3, 100.0,  11.3 to 1,  78.1,  91.7
Worcester - City View,03480053,      31.6, 100.0,  15.0 to 1,  95.7,  96.9
Worcester - Claremont Academy,03480350,      40.2,  97.5,  13.7 to 1,  87.6,  85.1
Worcester - Clark St Community,03480055,      17.6, 100.0,  14.8 to 1,  83.4,  99.2
Worcester - Columbus Park,03480060,      26.8, 100.0,  18.9 to 1,  91.8,  97.0
Worcester - Doherty Memorial High,03480512,     101.4,  97.0,  15.4 to 1,  87.2,  89.1
Worcester - Elm Park Community,03480095,      28.2,  96.7,  16.9 to 1,  68.0, 100.0
Worcester - Flagg Street,03480090,      22.5, 100.0,  18.1 to 1,  94.0,  98.7
Worcester - Forest Grove Middle,03480415,      68.8, 100.0,  14.2 to 1,  92.7,  92.4
Worcester - Francis J McGrath Elementary,03480177,      15.4, 100.0,  15.4 to 1,  99.5, 100.0
Worcester - Gates Lane,03480110,      39.9,  97.5,  14.3 to 1,  81.9,  87.4
Worcester - Goddard School/Science Technical,03480100,      32.9, 100.0,  14.1 to 1,  65.9,  93.9
Worcester - Grafton Street,03480115,      23.0,  95.7,  16.8 to 1,  70.6, 100.0
Worcester - Head Start,03480002,      31.2,  26.1,  17.0 to 1,  45.0, 100.0
Worcester - Heard Street,03480136,      17.3, 100.0,  17.1 to 1,  93.7, 100.0
Worcester - Jacob Hiatt Magnet,03480140,      26.3, 100.0,  15.3 to 1,  95.6,  95.8
Worcester - Lake View,03480145,      16.5, 100.0,  17.3 to 1, 100.0, 100.0
Worcester - Lincoln Street,03480160,      18.3, 100.0,  14.8 to 1,  61.7, 100.0
Worcester - May Street,03480175,      18.4, 100.0,  18.4 to 1,  94.1, 100.0
Worcester - Midland Street,03480185,      16.3, 100.0,  14.1 to 1,  92.8,  99.4
Worcester - Nelson Place,03480200,      33.8, 100.0,  15.4 to 1,  90.3,  99.7
Worcester - Norrback Avenue,03480202,      37.0, 100.0,  15.2 to 1,  78.5,  91.9
Worcester - North High,03480515,      97.1,  95.9,  13.3 to 1,  76.4,  80.4
Worcester - Quinsigamond,03480210,      40.8, 100.0,  18.3 to 1,  72.4,  92.1
Worcester - Rice Square,03480215,      26.3, 100.0,  16.2 to 1,  74.6,  95.4
Worcester - Roosevelt,03480220,      41.4,  97.8,  16.2 to 1,  83.1,  95.1
Worcester - South High Community,03480520,      96.6,  93.8,  14.6 to 1,  79.4,  92.0
Worcester - Sullivan Middle,03480423,      72.7,  98.6,  11.9 to 1,  76.6,  87.6
Worcester - Tatnuck,03480230,      23.2, 100.0,  16.9 to 1,  73.8, 100.0
Worcester - Thorndyke Road,03480235,      20.4, 100.0,  18.7 to 1,  80.2,  99.0
Worcester - Union Hill School,03480240,      25.7,  96.1,  17.7 to 1,  88.0,  88.3
Worcester - University Pk Campus School,03480285,      18.2, 100.0,  13.1 to 1,  89.0,  94.5
Worcester - Vernon Hill School,03480280,      31.6, 100.0,  17.0 to 1,  81.0, 100.0
Worcester - Wawecus Road School,03480026,      11.8, 100.0,  12.9 to 1,  78.9,  92.1
Worcester - West Tatnuck,03480260,      21.4, 100.0,  17.3 to 1,  87.9,  95.3
Worcester - Woodland Academy,03480030,      31.8, 100.0,  19.0 to 1,  61.9,  93.5
Worcester - Worcester Arts Magnet School,03480225,      23.4, 100.0,  17.3 to 1,  86.4,  99.6
Worcester - Worcester East Middle,03480420,      64.0, 100.0,  12.8 to 1,  75.0,  78.1
Worcester - Worcester Technical High,03480605,     138.3,  97.8,  10.0 to 1,  82.6,  84.8
Worthington - R. H. Conwell,03490010,       6.6,  93.9,   9.4 to 1,  51.5,  97.0
Wrentham - Charles E Roderick,03500010,      33.4, 100.0,  13.9 to 1,  88.8, 100.0
Wrentham - Delaney,03500003,      42.0, 100.0,  13.8 to 1,  93.3, 100.0
